,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
475,,Colombia,COL,2002,0,South America
476,,Colombia,COL,2003,0,South America
477,,Colombia,COL,2004,0.5,South America
478,,Colombia,COL,2005,4.6,South America
479,,Colombia,COL,2006,4.8,South America
480,,Colombia,COL,2007,5.8,South America
481,,Colombia,COL,2008,11.3,South America
482,,Colombia,COL,2009,12,South America
483,,Colombia,COL,2010,0,South America
484,,Comoros,COM,2000,0,Africa
485,,Comoros,COM,2001,0,Africa
486,,Comoros,COM,2002,0,Africa
487,,Comoros,COM,2003,0,Africa
488,,Comoros,COM,2004,0,Africa
489,,Comoros,COM,2005,0,Africa
490,,Comoros,COM,2006,0,Africa
491,,Comoros,COM,2007,0,Africa
492,,Comoros,COM,2008,0,Africa
493,,Comoros,COM,2009,0,Africa
494,,Comoros,COM,2010,0,Africa
495,,Congo,COG,2000,0,
496,,Congo,COG,2001,0,
497,,Congo,COG,2002,0,
498,,Congo,COG,2003,0,
499,,Congo,COG,2004,0,
500,,Congo,COG,2005,0,
501,,Congo,COG,2006,0,
502,,Congo,COG,2007,0,
503,,Congo,COG,2008,0,
504,,Congo,COG,2009,0,
505,,Congo,COG,2010,0,
506,,Cook Islands,COK,2000,0,
507,,Cook Islands,COK,2001,0,
508,,Cook Islands,COK,2002,0,
509,,Cook Islands,COK,2003,0,
510,,Cook Islands,COK,2004,0,
511,,Cook Islands,COK,2005,0,
512,,Cook Islands,COK,2006,0,
513,,Cook Islands,COK,2007,0,
514,,Cook Islands,COK,2008,0,
515,,Cook Islands,COK,2009,0,
516,,Cook Islands,COK,2010,0,
517,,Costa Rica,CRI,2000,0,North America
518,,Costa Rica,CRI,2001,0,North America
519,,Costa Rica,CRI,2002,0,North America
520,,Costa Rica,CRI,2003,0,North America
521,,Costa Rica,CRI,2004,0,North America
522,,Costa Rica,CRI,2005,0,North America
523,,Costa Rica,CRI,2006,0.05,North America
524,,Costa Rica,CRI,2007,0.05,North America
525,,Costa Rica,CRI,2008,0.5,North America
526,,Costa Rica,CRI,2009,0.5,North America
527,,Costa Rica,CRI,2010,0,North America
528,,Cote d'Ivoire,CIV,2000,0,
529,,Cote d'Ivoire,CIV,2001,0,
530,,Cote d'Ivoire,CIV,2002,0,
531,,Cote d'Ivoire,CIV,2003,0,
532,,Cote d'Ivoire,CIV,2004,0,
533,,Cote d'Ivoire,CIV,2005,0,
534,,Cote d'Ivoire,CIV,2006,0,
535,,Cote d'Ivoire,CIV,2007,0,
536,,Cote d'Ivoire,CIV,2008,0,
537,,Cote d'Ivoire,CIV,2009,0,
538,,Cote d'Ivoire,CIV,2010,0,
539,,Croatia,HRV,2000,0,Europe
540,,Croatia,HRV,2001,0,Europe
541,,Croatia,HRV,2002,0,Europe
542,,Croatia,HRV,2003,0,Europe
543,,Croatia,HRV,2004,0,Europe
544,,Croatia,HRV,2005,0,Europe
545,,Croatia,HRV,2006,0.06,Europe
546,,Croatia,HRV,2007,0.04,Europe
547,,Croatia,HRV,2008,0.06,Europe
548,,Croatia,HRV,2009,0.1,Europe
549,,Croatia,HRV,2010,0,Europe
550,,Cuba,CUB,2000,1,North America
551,,Cuba,CUB,2001,1,North America
552,,Cuba,CUB,2002,1.1,North America
553,,Cuba,CUB,2003,1,North America
554,,Cuba,CUB,2004,1,North America
555,,Cuba,CUB,2005,0.7,North America
556,,Cuba,CUB,2006,0.4,North America
557,,Cuba,CUB,2007,0.3,North America
558,,Cuba,CUB,2008,0.3,North America
559,,Cuba,CUB,2009,0.3,North America
560,,Cuba,CUB,2010,0,North America
561,,Curacao,CUW,2000,0,
562,,Curacao,CUW,2001,0,
563,,Curacao,CUW,2002,0,
564,,Curacao,CUW,2003,0,
565,,Curacao,CUW,2004,0,
566,,Curacao,CUW,2005,0,
567,,Curacao,CUW,2006,0,
568,,Curacao,CUW,2007,0,
569,,Curacao,CUW,2008,0,
570,,Curacao,CUW,2009,0,
571,,Curacao,CUW,2010,0,
572,,Cyprus,CYP,2000,0,Asia
573,,Cyprus,CYP,2001,0,Asia
574,,Cyprus,CYP,2002,0,Asia
575,,Cyprus,CYP,2003,0,Asia
576,,Cyprus,CYP,2004,0,Asia
577,,Cyprus,CYP,2005,0,Asia
578,,Cyprus,CYP,2006,0.02,Asia
